id,id_type_relation,entite1,entite2,id_patron,extrait,reference
1,0,petit,biscuit,1,Vinsobres est un petit biscuit dur et,./corpus/wikipedia/Croquette de Vinsobres.txt #6
2,5,petit,biscuit,1,Vinsobres est un petit biscuit dur et,./corpus/wikipedia/Croquette de Vinsobres.txt #6
3,23,petit,biscuit,1,Vinsobres est un petit biscuit dur et,./corpus/wikipedia/Croquette de Vinsobres.txt #6
4,17,biscuit,dur,2,est un petit biscuit dur et croquant,./corpus/wikipedia/Croquette de Vinsobres.txt #7
5,666,biscuit,dur,2,est un petit biscuit dur et croquant,./corpus/wikipedia/Croquette de Vinsobres.txt #7
6,0,village,voisin,3,installée dans le village voisin de Saint-Maurice-sur-Eygues,./corpus/wikipedia/Croquette de Vinsobres.txt #49
7,17,village,voisin,3,installée dans le village voisin de Saint-Maurice-sur-Eygues,./corpus/wikipedia/Croquette de Vinsobres.txt #49
8,15,boulanger,village,4,"Chauvet, le boulanger du village de Vinsobres",./corpus/wikipedia/Croquette de Vinsobres.txt #61
9,0,produit,local,5,"elle commercialisait des produits locaux, dont",./corpus/wikipedia/Croquette de Vinsobres.txt #122
10,0,petit,biscuit,1,C'est un petit biscuit dur et,./corpus/wikipedia/Croquette de Vinsobres.txt #174
11,5,petit,biscuit,1,C'est un petit biscuit dur et,./corpus/wikipedia/Croquette de Vinsobres.txt #174
12,23,petit,biscuit,1,C'est un petit biscuit dur et,./corpus/wikipedia/Croquette de Vinsobres.txt #174
13,17,biscuit,dur,2,est un petit biscuit dur et croquant,./corpus/wikipedia/Croquette de Vinsobres.txt #175
14,666,biscuit,dur,2,est un petit biscuit dur et croquant,./corpus/wikipedia/Croquette de Vinsobres.txt #175
15,777,journaliste,gastronomique,5,"Frédéric Zégierman, journaliste gastronomique explique Il",./corpus/wikipedia/Croquette de Vinsobres.txt #187
16,0,jaune,œuf,6,", dorés au jaune d'œuf, puis",./corpus/wikipedia/Croquette de Vinsobres.txt #250
